id;id_matiere;id_classe;id_annee
1;Bedfordshire copy generate;online transmit;Car Director Czech Koruna
2;silver Electronics Consultant;Branding Forward functionalities;payment
3;Meadows;panel dynamic;Metal navigate
4;lavender deposit Bond Markets Units European Composite Unit (EURCO);Bacon deposit;Investment Account deposit Corporate
5;Tasty Concrete integrated;Salad Automotive;monitor Belize Dollar Rustic
6;HTTP Checking Account Berkshire;National;motivating Sausages Table
7;Personal Loan Account;Customer-focused Clothing Automotive;Shoes
8;Small Concrete Soap Legacy;Centralized Analyst;user-facing Branding
9;capacitor New York;array Communications back-end;groupware proactive Intelligent
10;monitor Borders open-source;Metal Gibraltar Pound;Pants
